reviewId,productId,reviewerName,rating,comment,date
R1,P36061,Mahnoor I.,5,"Exactly as described, fast to get used to and looks great.",2026-04-11
R2,P36061,Omar F.,5,"Good value, matched the photos well.",2026-03-27
R3,P50190,Talha Z.,4,Really happy with this — looks even better in person.,2026-06-05
R4,P50190,Ayesha K.,5,"Good value, matched the photos well.",2026-04-15
R5,P8957,Talha Z.,3,"Nice look, material could be a bit better for the price.",2026-08-05
R6,P8957,Sana J.,4,"Great quality for the price, fits true to size.",2026-02-28
R7,P8957,Ayesha K.,3,"Good product overall, delivery took a bit long.",2026-07-08
R8,P8957,Talha Z.,3,"Good product overall, delivery took a bit long.",2026-07-28
R9,P3896,Omar F.,2,"Nice look, material could be a bit better for the price.",2026-06-16
R10,P3896,Zainab N.,5,"Comfortable and stylish, would buy again.",2026-03-29
R11,P57969,Rimsha L.,5,"Good value, matched the photos well.",2026-05-10
R12,P57969,Omar F.,5,"Comfortable and stylish, would buy again.",2026-02-20
R13,P22538,Fatima A.,3,"Good product overall, delivery took a bit long.",2026-03-02
R14,P22538,Ayesha K.,4,"Good value, matched the photos well.",2026-07-24
R15,P10031,Ali H.,5,"Exactly as described, fast to get used to and looks great.",2026-03-19
R16,P10031,Ali H.,4,"Exactly as described, fast to get used to and looks great.",2026-06-03
R17,P10031,Talha Z.,4,"Great quality for the price, fits true to size.",2026-04-20
R18,P15922,Mahnoor I.,5,"Good value, matched the photos well.",2026-04-01
R19,P15922,Hira W.,3,"Good product overall, delivery took a bit long.",2026-07-28
R20,P15922,Ayesha K.,2,"Nice look, material could be a bit better for the price.",2026-06-13
R21,P15922,Bilal R.,5,Really happy with this — looks even better in person.,2026-02-28
R22,P15922,Ayesha K.,4,"Comfortable and stylish, would buy again.",2026-04-18
R23,P15922,Faisal B.,3,"Good product overall, delivery took a bit long.",2026-06-29
R24,P33068,Danish Q.,4,"Great quality for the price, fits true to size.",2026-07-07
R25,P33068,Sana J.,5,"Great quality for the price, fits true to size.",2026-07-05
R26,P33068,Usman S.,5,Really happy with this — looks even better in person.,2026-08-02
R27,P33068,Danish Q.,3,"Good product overall, delivery took a bit long.",2026-04-27
R28,P33068,Ayesha K.,5,"Great quality for the price, fits true to size.",2026-06-06
R29,P33068,Danish Q.,5,"Good value, matched the photos well.",2026-07-08
R30,P37259,Rimsha L.,3,"Decent, but sizing ran a little small for me.",2026-06-22
